Variation,classifier,method,max_calls,AUC (conf),conf-thr (Youden),Sel. acc (conf),Cov. (conf),J (conf),AUC (gap),gap-thr (Youden),Sel. acc (gap),Cov. (gap),J (gap)
BART (names only),bart,,,0.6967863701285452,0.4235581755638123,0.5441176470588235,53.37519623233909,0.3003978779840849,0.6395021424199143,0.3437,0.6091954022988506,27.315541601255887,0.2273209549071618
BART (names + opt-out),bart,,,0.7002591353782578,0.4066802263259888,0.5627009646302251,51.83333333333333,0.30752634162490444,0.6438772132101964,0.2682,0.595,33.33333333333333,0.24201189511295793
Ollama (names only),ollama,classify,,0.8202329548483395,0.5187270047691853,0.912621359223301,64.67817896389325,0.5509355509355509,0.8089650301188763,0.3628,0.9276139410187667,58.55572998430141,0.5462577962577964
Ollama (names + opt-out),ollama,classify,,0.8307384597674686,0.5265103674018604,0.924119241192412,59.32475884244373,0.5246057327040405,0.8167232646483251,0.34,0.9302949061662198,59.967845659163984,0.5509094048578336
Ollama (names + desc.),ollama,classify,,0.7883694442287282,0.5374641888961152,0.8897435897435897,61.224489795918366,0.4682638295669282,0.7987173513499521,0.3039,0.8899521531100478,65.62009419152275,0.5026015376252233
Ollama (desc. + opt-out),ollama,classify,,0.8212138349803548,0.5538811443192061,0.9335347432024169,54.98338870431893,0.531968091439457,0.831081081081081,0.3195,0.9177718832891246,62.62458471760798,0.5526550779854745
Ollama (names only) [gen mc=1],ollama,generate,1.0,0.8305644031086763,0.9987633286648445,0.9375,50.23547880690737,0.5185373932985093,0.8285322971079119,0.996,0.912568306010929,57.45682888540031,0.5190215314052746
Ollama (names only) [gen mc=3],ollama,generate,3.0,0.8317088607594937,0.9758108460977816,0.8674698795180723,52.119309262166404,0.5343459915611815,0.8050263713080169,0.9498,0.8626865671641791,52.590266875981165,0.5284071729957807
Ollama (names only) [gen mc=5],ollama,generate,5.0,0.8000840992370998,0.9776040274837849,0.8431372549019608,40.031397174254316,0.45718948359063694,0.7407791193608458,0.9669,0.8502024291497976,38.775510204081634,0.45397569131575255
Ollama (names only) [gen mc=8],ollama,generate,8.0,0.7790498165897527,0.7580673172693878,0.7607142857142857,43.956043956043956,0.443349899420187,0.7157683508854968,0.5163,0.7473684210526316,44.740973312401884,0.4273754585256183
Ollama (names + opt-out) [gen mc=1],ollama,generate,1.0,0.8176210826210826,0.9946877792598726,0.8804071246819338,64.85148514851485,0.4676068376068376,0.8158974358974359,0.9902,0.8771929824561403,65.84158415841584,0.4636752136752137
Ollama (names + opt-out) [gen mc=3],ollama,generate,3.0,0.8084625547597525,0.9858729440609383,0.85625,52.20228384991843,0.48538580998076164,0.7803699325498922,0.9197,0.8324022346368715,58.40130505709625,0.48237257492524865
Ollama (names + opt-out) [gen mc=5],ollama,generate,5.0,0.7728491219182708,0.9454927532998534,0.7859778597785978,43.85113268608414,0.4282548125633232,0.7150033772374198,0.9197,0.7894736842105263,43.042071197411005,0.42641843971631205
Ollama (names + opt-out) [gen mc=8],ollama,generate,8.0,0.7601735178682091,0.8780697207688373,0.7304347826086957,38.917089678511,0.3950974316601253,0.6845348757143841,0.9197,0.7611940298507462,34.01015228426396,0.38721338566411895
Ollama (names + desc.) [gen mc=1],ollama,generate,1.0,0.7830750448475184,0.9926391249321258,0.8876404494382022,55.88697017268446,0.4498206099262507,0.7824583914690054,0.9868,0.8857938718662952,56.35792778649922,0.44835060793302767
Ollama (names + desc.) [gen mc=3],ollama,generate,3.0,0.8341240441064969,0.9922832990969561,0.9016393442622951,47.880690737833596,0.5297220597474057,0.8282803665431858,0.9859,0.8945686900958466,49.13657770800628,0.5283464396351899
Ollama (names + desc.) [gen mc=5],ollama,generate,5.0,0.794341550911442,0.9809078793197833,0.8673469387755102,46.15384615384615,0.48901889625829054,0.7765037750802987,0.9566,0.8547854785478548,47.56671899529042,0.4787052100279481
Ollama (names + desc.) [gen mc=8],ollama,generate,8.0,0.7047179423200881,0.8935275127028078,0.7719869706840391,48.19466248037676,0.3215852618884245,0.6827188988002412,0.7576,0.7614678899082569,51.33437990580848,0.3197554737695714
Ollama (desc. + opt-out) [gen mc=1],ollama,generate,1.0,0.822276688453159,0.9875399309971764,0.8976377952755905,63.2890365448505,0.5622549019607843,0.8211805555555556,0.9795,0.8970976253298153,62.95681063122923,0.5576252723311548
Ollama (desc. + opt-out) [gen mc=3],ollama,generate,3.0,0.8525532981049563,0.9840739981174924,0.8948948948948949,54.05844155844156,0.6039540816326531,0.8485559402332361,0.9742,0.8942598187311178,53.73376623376623,0.5988520408163265
Ollama (desc. + opt-out) [gen mc=5],ollama,generate,5.0,0.7942062445030783,0.9703885215533924,0.8754448398576512,45.39579967689822,0.5032431838170625,0.7681013632365875,0.9445,0.8701754385964913,46.04200323101777,0.5001868953386104
Ollama (desc. + opt-out) [gen mc=8],ollama,generate,8.0,0.6844536616410999,0.8196580492710734,0.7461300309597523,52.52032520325203,0.329152676278886,0.675214519279303,0.6515,0.7454545454545455,53.65853658536586,0.33478174995062215
